,region_id,station_name,location,latitude,longitude
0,47401,Wakkanai,"Wakkanai-shi, Hokkaido",45.415,141.67833333333334
1,47412,Sapporo,"Sapporo-shi, Hokkaido",43.06,141.32833333333335
2,47418,Kushiro,"Kushiro-shi, Hokkaido",42.95333333333333,144.43833333333333
3,47582,Akita,"Akita-shi, Akita",39.718333333333334,140.1
4,47600,Wajima,"Wajima-shi, Ishikawa",37.391666666666666,136.895
5,47646,Tateno,"Tsukuba-shi, Ibaraki",36.05833333333333,140.125
6,47678,Hachijojima,"Hachijo-cho, Hachijojima, Tokyo",33.12166666666667,139.77833333333334
7,47741,Matsue,"Matsue-shi, Shimane",35.458333333333336,133.06666666666666
8,47778,Shionomisaki,"Kushimoto-cho, Higashimuro-gun, Wakayama",33.45166666666667,135.76166666666666
9,47807,Fukuoka,"Fukuoka-shi, Fukuoka",33.583333333333336,130.38333333333333
10,47827,Kagoshima,"Kagoshima-shi, Kagoshima",31.555,130.54833333333335
11,47909,Naze/Funcha-toge,"Amami-shi, Kagoshima",28.393333333333334,129.55333333333334
12,47918,Ishigakijima,"Ishigaki-shi, Okinawa",24.336666666666666,124.16333333333333
13,47945,Minami-daitojima,"Minami-daito-son, Shimajiri-gun, Okinawa",25.83,131.22833333333332
14,47971,Chichijima,"Ogasawara-mura, Tokyo",27.095,142.185
15,47991,Minami-torishima,"Ogasawara-mura, Tokyo",24.29,153.98333333333332
16,89532,Showa,"Showa-Base, Antarctica",-68.995,39.57833333333333
